"Treatment","Sex","BrainRegion","MouseID","SlideNumber","Cluster","n","percentage"
"COLD","F","ARC","MR290","s07","Rod-Like",6,0.2
"COLD","F","ARC","MR290","s07","Ramified",13,0.433333333333333
"COLD","F","ARC","MR290","s09","Ameboid",10,0.3125
"COLD","F","ARC","MR290","s09","Rod-Like",6,0.1875
"COLD","F","ARC","MR290","s09","Ramified",16,0.5
"COLD","F","ARC","MR290","s10","Ameboid",15,0.365853658536585
"COLD","F","ARC","MR290","s10","Rod-Like",13,0.317073170731707
"COLD","F","ARC","MR290","s10","Ramified",13,0.317073170731707
"COLD","F","HYPO","MR138","s01","Ameboid",33,0.383720930232558
"COLD","F","HYPO","MR138","s01","Rod-Like",22,0.255813953488372
"COLD","F","HYPO","MR138","s01","Ramified",31,0.36046511627907
"COLD","F","HYPO","MR138","s02","Ameboid",25,0.337837837837838
"COLD","F","HYPO","MR138","s02","Rod-Like",22,0.297297297297297
"COLD","F","HYPO","MR138","s02","Ramified",27,0.364864864864865
"COLD","F","HYPO","MR138","s03","Ameboid",20,0.210526315789474
"COLD","F","HYPO","MR138","s03","Rod-Like",24,0.252631578947368
"COLD","F","HYPO","MR138","s03","Ramified",51,0.536842105263158
"COLD","F","HYPO","MR138","s04","Ameboid",25,0.167785234899329
"COLD","F","HYPO","MR138","s04","Rod-Like",29,0.194630872483221
"COLD","F","HYPO","MR138","s04","Ramified",95,0.63758389261745
"COLD","F","HYPO","MR138","s05","Ameboid",35,0.202312138728324
"COLD","F","HYPO","MR138","s05","Rod-Like",36,0.208092485549133
"COLD","F","HYPO","MR138","s05","Ramified",102,0.589595375722543
"COLD","F","HYPO","MR138","s06","Ameboid",25,0.176056338028169
"COLD","F","HYPO","MR138","s06","Rod-Like",41,0.288732394366197
"COLD","F","HYPO","MR138","s06","Ramified",76,0.535211267605634
"COLD","F","HYPO","MR138","s07","Ameboid",29,0.163841807909605
"COLD","F","HYPO","MR138","s07","Rod-Like",50,0.282485875706215
"COLD","F","HYPO","MR138","s07","Ramified",98,0.553672316384181
"COLD","F","HYPO","MR138","s08","Ameboid",41,0.238372093023256
"COLD","F","HYPO","MR138","s08","Rod-Like",32,0.186046511627907
"COLD","F","HYPO","MR138","s08","Ramified",99,0.575581395348837
"COLD","F","HYPO","MR138","s09","Ameboid",30,0.31578947368421
"COLD","F","HYPO","MR138","s09","Rod-Like",26,0.273684210526316
"COLD","F","HYPO","MR138","s09","Ramified",39,0.410526315789474
"COLD","F","HYPO","MR138","s10","Ameboid",27,0.3375
"COLD","F","HYPO","MR138","s10","Rod-Like",18,0.225
"COLD","F","HYPO","MR138","s10","Ramified",35,0.4375
"COLD","F","HYPO","MR138","s11","Ameboid",18,0.236842105263158
"COLD","F","HYPO","MR138","s11","Rod-Like",18,0.236842105263158
"COLD","F","HYPO","MR138","s11","Ramified",40,0.526315789473684
"COLD","F","HYPO","MR138","s12","Ameboid",36,0.4
"COLD","F","HYPO","MR138","s12","Rod-Like",20,0.222222222222222
"COLD","F","HYPO","MR138","s12","Ramified",34,0.377777777777778
"COLD","F","HYPO","MR139","s01","Ameboid",17,0.288135593220339
"COLD","F","HYPO","MR139","s01","Rod-Like",13,0.220338983050847
"COLD","F","HYPO","MR139","s01","Ramified",29,0.491525423728814
"COLD","F","HYPO","MR139","s02","Ameboid",37,0.366336633663366
"COLD","F","HYPO","MR139","s02","Rod-Like",28,0.277227722772277
"COLD","F","HYPO","MR139","s02","Ramified",36,0.356435643564356
"COLD","F","HYPO","MR139","s03","Ameboid",40,0.338983050847458
"COLD","F","HYPO","MR139","s03","Rod-Like",32,0.271186440677966
"COLD","F","HYPO","MR139","s03","Ramified",46,0.389830508474576
"COLD","F","HYPO","MR139","s04","Ameboid",36,0.253521126760563
"COLD","F","HYPO","MR139","s04","Rod-Like",48,0.338028169014085
"COLD","F","HYPO","MR139","s04","Ramified",58,0.408450704225352
"COLD","F","HYPO","MR139","s05","Ameboid",45,0.277777777777778
"COLD","F","HYPO","MR139","s05","Rod-Like",41,0.253086419753086
"COLD","F","HYPO","MR139","s05","Ramified",76,0.469135802469136
"COLD","F","HYPO","MR139","s06","Ameboid",43,0.26219512195122
"COLD","F","HYPO","MR139","s06","Rod-Like",45,0.274390243902439
"COLD","F","HYPO","MR139","s06","Ramified",76,0.463414634146341
"COLD","F","HYPO","MR139","s07","Ameboid",78,0.393939393939394
"COLD","F","HYPO","MR139","s07","Rod-Like",59,0.297979797979798
"COLD","F","HYPO","MR139","s07","Ramified",61,0.308080808080808
"COLD","F","HYPO","MR139","s08","Ameboid",74,0.336363636363636
"COLD","F","HYPO","MR139","s08","Rod-Like",52,0.236363636363636
"COLD","F","HYPO","MR139","s08","Ramified",94,0.427272727272727
"COLD","F","HYPO","MR139","s09","Ameboid",53,0.30635838150289
"COLD","F","HYPO","MR139","s09","Rod-Like",45,0.260115606936416
"COLD","F","HYPO","MR139","s09","Ramified",75,0.433526011560694
"COLD","F","HYPO","MR139","s10","Ameboid",33,0.351063829787234
"COLD","F","HYPO","MR139","s10","Rod-Like",25,0.265957446808511
"COLD","F","HYPO","MR139","s10","Ramified",36,0.382978723404255
"COLD","F","HYPO","MR139","s11","Ameboid",37,0.318965517241379
"COLD","F","HYPO","MR139","s11","Rod-Like",35,0.301724137931034
"COLD","F","HYPO","MR139","s11","Ramified",44,0.379310344827586
"COLD","F","HYPO","MR139","s12","Ameboid",28,0.282828282828283
"COLD","F","HYPO","MR139","s12","Rod-Like",27,0.272727272727273
"COLD","F","HYPO","MR139","s12","Ramified",44,0.444444444444444
"COLD","F","HYPO","MR196","s01","Ameboid",17,0.232876712328767
"COLD","F","HYPO","MR196","s01","Rod-Like",22,0.301369863013699
"COLD","F","HYPO","MR196","s01","Ramified",34,0.465753424657534
"COLD","F","HYPO","MR196","s02","Ameboid",45,0.375
"COLD","F","HYPO","MR196","s02","Rod-Like",34,0.283333333333333
"COLD","F","HYPO","MR196","s02","Ramified",41,0.341666666666667
"COLD","F","HYPO","MR196","s03","Ameboid",28,0.354430379746835
"COLD","F","HYPO","MR196","s03","Rod-Like",23,0.291139240506329
"COLD","F","HYPO","MR196","s03","Ramified",28,0.354430379746835
"COLD","F","HYPO","MR196","s04","Ameboid",41,0.305970149253731
"COLD","F","HYPO","MR196","s04","Rod-Like",29,0.216417910447761
"COLD","F","HYPO","MR196","s04","Ramified",64,0.477611940298507
"COLD","F","HYPO","MR196","s05","Ameboid",30,0.227272727272727
"COLD","F","HYPO","MR196","s05","Rod-Like",39,0.295454545454545
"COLD","F","HYPO","MR196","s05","Ramified",63,0.477272727272727
"COLD","F","HYPO","MR196","s06","Ameboid",36,0.264705882352941
"COLD","F","HYPO","MR196","s06","Rod-Like",48,0.352941176470588
"COLD","F","HYPO","MR196","s06","Ramified",52,0.382352941176471
"COLD","F","HYPO","MR196","s07","Ameboid",44,0.217821782178218
"COLD","F","HYPO","MR196","s07","Rod-Like",57,0.282178217821782
"COLD","F","HYPO","MR196","s07","Ramified",101,0.5
"COLD","F","HYPO","MR196","s08","Ameboid",36,0.36
"COLD","F","HYPO","MR196","s08","Rod-Like",20,0.2
"COLD","F","HYPO","MR196","s08","Ramified",44,0.44
"COLD","F","HYPO","MR196","s09","Ameboid",24,0.31578947368421
"COLD","F","HYPO","MR196","s09","Rod-Like",22,0.289473684210526
"COLD","F","HYPO","MR196","s09","Ramified",30,0.394736842105263
"COLD","F","HYPO","MR196","s10","Ameboid",15,0.230769230769231
"COLD","F","HYPO","MR196","s10","Rod-Like",19,0.292307692307692
"COLD","F","HYPO","MR196","s10","Ramified",31,0.476923076923077
"COLD","F","HYPO","MR196","s11","Ameboid",28,0.354430379746835
"COLD","F","HYPO","MR196","s11","Rod-Like",19,0.240506329113924
"COLD","F","HYPO","MR196","s11","Ramified",32,0.40506329113924
"COLD","F","HYPO","MR196","s12","Ameboid",27,0.296703296703297
"COLD","F","HYPO","MR196","s12","Rod-Like",33,0.362637362637363
