,precision,recall,f1-score,support
COLD,0.512987012987013,0.42021276595744683,0.4619883040935672,188.0
CON,0.502283105022831,0.5945945945945946,0.5445544554455446,185.0
accuracy,0.5067024128686327,0.5067024128686327,0.5067024128686327,0.5067024128686327
macro avg,0.507635059004922,0.5074036802760207,0.5032713797695559,373.0
weighted avg,0.5076781042112123,0.5067024128686327,0.5029393443083549,373.0
