"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"mt-Nd4l",9.32139027954773e-05,0.372573124178689,1,0.921,1
"Ifngr2",0.000102057107174879,0.516682495694236,0.609,0.27,1
"Grn",0.000103108012264131,-0.538415518321869,0.986,0.984,1
"Ppdpf",0.000104662934785299,0.704680560024328,0.6,0.238,1
"Selenof",0.000107117999691224,0.595793060785552,0.918,0.683,1
"Erp44",0.000113513533527245,2.04633763312983,0.314,0.063,1
"Lrpap1",0.000120949309483504,1.3128801130264,0.441,0.143,1
"Serf2",0.000127288335717031,-0.269939116707967,1,1,1
"Dut",0.000128929723616125,2.80797433776013,0.255,0.032,1
"Gm11808",0.000132819641858133,0.256742382955912,1,1,1
"C1qb",0.000138087975804659,0.332388865404427,1,0.968,1
"Gm5239",0.000148068988473955,1.03236083788919,0.495,0.175,1
"C1qa",0.000156738479707564,0.336598032552951,0.991,0.984,1
"Btf3",0.000176273414825926,0.492145228467075,0.977,0.825,1
"Dpy30",0.00018136863726639,0.870086866141441,0.518,0.19,1
"Scoc",0.000189483429919055,0.611374716867279,0.864,0.587,1
"Rplp2",0.000196560885796518,0.31616610841679,1,0.952,1
"Rplp0",0.000207730628823376,0.286010455351819,1,1,1
"Smim15",0.000208832530270236,1.15608932927189,0.4,0.111,1
"Hsp90aa1",0.000209826298431091,0.85394925292328,0.718,0.429,1
"Lyz2",0.000229175619160266,0.934960389133926,0.741,0.476,1
"Scn1b",0.000229386006740965,3.62165476978822,0.214,0.016,1
"Adora3",0.000231046645622332,4.50518916315673,0.186,0,1
"Rpl36a",0.000267532780232632,0.38775749199103,0.991,0.905,1
"Gmppb",0.00027288218840862,-2.88591917448048,0.064,0.206,1
"Sirpa",0.000296156610506205,-0.526372476365319,0.991,0.968,1
"Phgdh",0.000335071172492563,3.0515647193829,0.232,0.032,1
"Ethe1",0.000338056268763254,1.06478293138787,0.477,0.19,1
"S100a11",0.000346056132836117,4.28960849110507,0.177,0,1
"1110059E24Rik",0.000346056132836117,4.20430861245456,0.177,0,1
"Fam20c",0.000347112152570692,0.83253141041961,0.55,0.254,1
"Rpl7a",0.000352366111532513,0.468188682682472,0.986,0.841,1
"Wbp4",0.000353536640101846,1.38808565150401,0.391,0.127,1
"Atp5o.1",0.000360924831647352,0.761919725930678,0.795,0.476,1
"Erh",0.000366678217068177,0.503568382402604,0.968,0.73,1
"Gtf2a2",0.000375601909998546,0.877508372361909,0.55,0.254,1
"Crybb1",0.000387571928926964,0.863447952204285,0.814,0.556,1
"Mrpl33",0.000390055042597294,0.718036339443352,0.736,0.381,1
"Ctsz",0.000409398481480833,0.2955279154439,1,1,1
"Esd",0.000413813439868068,0.837666866284198,0.659,0.349,1
"Cfh",0.000414692716131859,0.410360216283336,0.523,0.206,1
"Cd83",0.000415374348192773,0.875699782301286,0.709,0.365,1
"Eef1d",0.000429689573038243,0.542746440493243,0.823,0.524,1
"Ntpcr",0.000440571390424009,1.3112999417695,0.445,0.175,1
"Abracl",0.000445028603339508,0.631525135517092,0.809,0.508,1
"Ap2b1",0.00045027819077974,0.97990138957601,0.382,0.111,1
"Qsox1",0.000455822388481993,-2.04511036374087,0.123,0.286,1
"Hebp1",0.000463165800956142,0.420477793908557,0.755,0.397,1
"Sort1",0.00046626533016798,2.33571612789086,0.205,0.016,1
"Rps16",0.000506671616443962,0.302901502893305,1,0.968,1
"Gm26917",0.000545976850221513,0.526655395938721,0.577,0.27,1
"Mcrs1",0.00055646421026234,1.25475519389222,0.291,0.063,1
"Prps2",0.000580209544405201,0.842721504563361,0.473,0.19,1
"Smarca5",0.000580280388346,0.528608849329318,0.645,0.317,1
"Wdr83os",0.000582211023273979,0.720224672690046,0.641,0.317,1
"Adprhl2",0.000598263804625949,2.01254303111345,0.25,0.048,1
"Rbm8a",0.000600454110766456,0.821136937864673,0.464,0.19,1
"Srsf10",0.000613975617694699,0.823613362996013,0.509,0.222,1
"Hmox2",0.000615198589126692,0.581752858956105,0.423,0.143,1
"Rpl17",0.000621967784446791,0.435368453888995,0.959,0.841,1
"Romo1",0.000639986182703799,-0.481950969892794,0.936,0.905,1
"Ahsa1",0.000645633023825344,1.03871039343601,0.4,0.143,1
"Cdc37",0.000668075638286592,0.900227507253998,0.509,0.222,1
"Tradd",0.000693396449266412,2.54823795806631,0.218,0.032,1
"Igsf8",0.000713927803647635,0.954708589916008,0.464,0.19,1
"Hspa8",0.000722057175593449,0.422671186915637,0.941,0.762,1
