"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Tnrc18",0.0147014600988643,-2.17037449341676,0.022,0.102,1
"Kansl1",0.0109256818854603,-2.15550875382957,0.022,0.108,1
"Son",1.32851994601553e-08,-2.14830523920263,0.178,0.485,0.00019420304570855
"Tpp2",0.0213201056003957,-2.1466813373607,0.033,0.111,1
"Slc15a3",0.00867352507486761,-2.13818403642016,0.056,0.156,1
"Abcc5",0.0111132885241127,-2.1356206194336,0.022,0.108,1
"Sel1l",0.036860633772979,-2.12973229324932,0.033,0.101,1
"Zfp36l1",1.06235994507043e-08,-2.12128190133928,0.178,0.492,0.000155295776770396
"Phf14",0.00610092788310345,-2.10041237708388,0.044,0.151,1
"Pan3",0.00128222803266921,-2.09850782383902,0.044,0.181,1
"Ilf3",0.0118344598154158,-2.09657366096982,0.022,0.106,1
"Wac",0.00684655667261216,-2.09501741913529,0.033,0.133,1
"Irf2",0.00160304575911,-2.09187433331446,0.056,0.192,1
"Pign",0.00984705863429856,-2.08769606129271,0.022,0.11,1
"Ivns1abp",0.00017256572563267,-2.08009579796785,0.1,0.28,1
"F630028O10Rik",0.0274665849171246,-2.07799644659317,0.033,0.108,1
"Traf3ip3",0.00773906392647136,-2.06944489650931,0.022,0.115,1
"Cant1",0.0491489985632499,-2.06874718329499,0.044,0.11,1
"Ankrd11",0.0365991247950246,-2.05500393428288,0.033,0.102,1
"Abi1",0.000507387702714922,-2.04764255977934,0.044,0.197,1
"Rsrp1",4.66800529744427e-08,-2.03972294982002,0.167,0.469,0.000682369014380403
"Hacd4",0.00549621412094439,-2.03206792242917,0.056,0.165,1
"Cab39",0.00820183723653112,-2.0315937554014,0.022,0.113,1
"Sf1",0.00366645152804061,-2.02527351938791,0.044,0.16,1
"Emc1",0.00767696638739848,-2.02382876590617,0.033,0.131,1
"Ldhb",1.32781116148584e-07,-2.02045659145286,0.156,0.449,0.00194099435586
"Ccl4",0.326032248199832,-2.01230966729105,0.089,0.122,1
"Lnpep",0.00221815502767892,-2.00570001288803,0.022,0.138,1
"Ankfy1",0.0135416210494967,-2.0051225514557,0.033,0.12,1
"Aup1",0.00240648734118096,-2.00296302921257,0.044,0.169,1
"N4bp2l2",0.00990689714438301,-1.99530328491849,0.044,0.142,1
"Snrnp48",0.016078920734927,-1.99484649219496,0.022,0.101,1
"Atxn2l",0.00516001029871156,-1.98303478363858,0.044,0.154,1
"Ptprc",0.000248342764243332,-1.98113881815014,0.111,0.289,1
"Slc12a9",0.0288981426100117,-1.9682065143923,0.044,0.12,1
"Dgkz",0.00144719533642525,-1.96802772945004,0.067,0.206,1
"Larp1",0.0260081256113136,-1.96464249309894,0.033,0.108,1
"Atp6ap1",0.000309471415072421,-1.95204478965234,0.1,0.273,1
