"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Polr2m",2.31515458693696e-06,0.540409770754402,0.228,0.089,0.0338429297518445
"Bhlhe41",1.07943178445026e-08,0.540146799907497,0.512,0.283,0.000157791338250939
"Map2k2",1.0560219862018e-07,0.53810250523999,0.503,0.283,0.00154369293942979
"Bnip2",1.09318026142002e-06,0.537983649939711,0.349,0.171,0.0159801090614379
"Gipc1",5.89984335608665e-08,0.527628088813918,0.375,0.175,0.000862439101792746
"Emc7",1.60352672419029e-07,0.519677960256244,0.398,0.193,0.00234403536542137
"Rpl32",9.67573645085741e-29,0.519581055811977,0.996,0.941,1.41439915438634e-24
"Syf2",7.26231749611976e-07,0.507910943539034,0.276,0.119,0.0106160557158279
"mt-Co1",3.1552046974365e-30,0.501685123405297,0.996,0.989,4.61227822671268e-26
"mt-Nd3",1.50125762624678e-14,0.497994496816325,0.905,0.673,2.19453839804755e-10
"Commd2",2.21485520107655e-06,0.494475026315552,0.298,0.138,0.032376753329337
"Rpl18",3.15308996845803e-23,0.489589964282307,0.982,0.911,4.60918691589194e-19
"Cldnd1",1.25080517456451e-06,0.487830341646333,0.246,0.097,0.0182842700417841
"Rpl12",1.03285629589055e-15,0.487380182426538,0.934,0.743,1.5098293333328e-11
"1810011H11Rik",2.01617360087223e-06,0.484896704986741,0.295,0.13,0.0294724256975503
"Rps8",1.29714541874193e-18,0.484144077420218,0.984,0.866,1.89616717311696e-14
"Btg1",2.24755566722898e-07,0.482167726503839,0.657,0.416,0.00328547687435532
"1110004F10Rik",1.41430960852244e-06,0.478062513374024,0.413,0.223,0.020674377857381
"Glul",1.07094402006822e-09,0.47721895746459,0.824,0.561,1.56550596853572e-05
"Cfh",2.23053573009354e-10,0.477185521252492,0.553,0.275,3.26059713025074e-06
"Ncl",3.04871859474506e-08,0.475789942708822,0.69,0.435,0.000445661684179833
"mt-Co3",1.04771329276245e-26,0.467419693549303,0.998,0.985,1.53154729136015e-22
"Smarca5",4.48739333179568e-07,0.466180557078,0.459,0.253,0.00655967157241893
"Cox7a2l",2.28881162681993e-07,0.461039801506827,0.542,0.312,0.00334578483608538
"Rps10",2.92695336697295e-25,0.459803878148884,0.995,0.955,4.27862043184105e-21
"H2-D1",3.24825045416982e-06,0.457266589004006,0.463,0.26,0.0474829251390544
"Rps13",5.08234771469454e-17,0.456873436508316,0.978,0.877,7.42937588934047e-13
"Rpl3",1.53937329321969e-13,0.454759678545842,0.97,0.859,2.25025588002854e-09
"Sys1",8.95791554426048e-08,0.450352860371032,0.517,0.275,0.00130946809426
"Cd81",2.27702068945871e-13,0.447081360981297,0.941,0.714,3.32854884385074e-09
"Ckb",4.12081243987045e-08,0.44673690816914,0.836,0.61,0.000602380362460263
"Mrpl18",9.83500697048759e-07,0.446049042491483,0.396,0.208,0.0143768131894588
"Slc25a39",2.09321208692912e-06,0.438558227239358,0.357,0.178,0.0305985742867299
"Cmtm7",2.92040305595858e-08,0.437949245985341,0.634,0.379,0.000426904518720026
"Rpl35a",6.16104859258531e-31,0.436098301565543,0.996,0.978,9.00622083264121e-27
"Rps5",8.38647751082231e-18,0.435561540524603,0.989,0.918,1.22593528253201e-13
"mt-Nd4",4.53051265978552e-22,0.43409045116922,0.994,0.963,6.62270340607447e-18
"Cnpy2",3.18384203362776e-06,0.433089228335418,0.542,0.338,0.0465414028475706
"Rps19",3.52969568752718e-25,0.42993567789792,0.998,0.97,5.15970915602723e-21
"Arhgap5",2.37308650227613e-06,0.426703749748501,0.398,0.216,0.0346897784902725
"Rps3",2.37017702158088e-17,0.411825672485548,0.988,0.944,3.46472477014693e-13
"Eef1a1",1.83872234841628e-17,0.411078782079619,0.993,0.963,2.68784432891492e-13
"mt-Nd4l",4.94685285552359e-12,0.405121384081343,0.965,0.829,7.23130950420439e-08
"Hebp1",3.53598944817694e-08,0.391535616590975,0.621,0.368,0.000516890937534505
"Psma1",1.99417224852758e-08,0.388647590243417,0.473,0.242,0.000291508099289761
"Rpl23",3.98978816542383e-20,0.388403137185647,0.996,0.963,5.83227234021656e-16
"Rpl10a",1.24890781765549e-18,0.38732076605041,0.998,0.985,1.8256534478488e-14
"Zeb2",2.53940659780004e-08,0.379948717504128,0.636,0.357,0.00037121045646641
"Ntpcr",7.949546165579e-08,0.373126634926454,0.521,0.279,0.00116206465848434
"Abhd12",2.58519640495793e-06,0.369569900511254,0.706,0.472,0.037790401047675
"Rpl7",5.40232945926356e-12,0.369164132563746,0.964,0.844,7.89712520355147e-08
"Rpl34",3.58791131217495e-18,0.368323074355761,0.996,0.978,5.24480875613734e-14
"Rpl13",1.68224277728356e-21,0.364949815536637,0.997,0.97,2.45910249183311e-17
"Ctsz",6.10578810936831e-10,0.363442937075202,0.97,0.866,8.92544105827459e-06
"Rpl18a",2.83323435217179e-17,0.358166132279547,0.995,0.981,4.14162197600472e-13
"Fcrls",1.44000094536544e-09,0.355512898055323,0.963,0.851,2.1049933819352e-05
"Ptms",6.49066260618571e-07,0.35542206486033,0.869,0.662,0.00948805059772227
"Pkig",9.74347692671957e-07,0.353213960102974,0.515,0.297,0.0142430145714787
"Rpl28",6.8080500498894e-11,0.346339996231873,0.972,0.885,9.95200756292833e-07
"Olfml3",1.0482078279552e-07,0.342121350378666,0.427,0.208,0.00153227020290491
"Eif3e",4.75787412525197e-08,0.339440838502552,0.353,0.152,0.000695506039629333
"Guk1",3.2134409647924e-06,0.323315923149085,0.289,0.134,0.0469740800233353
"Tpt1",2.62267055854941e-10,0.322911939977638,0.97,0.874,3.83381982248752e-06
"Ubb",3.01271999580049e-08,0.318466752664149,0.922,0.766,0.000440399408986116
"Rpl37a",1.61932437832128e-19,0.317141439764866,0.997,0.996,2.36712837623004e-15
"Fam105a",2.71653993144375e-06,0.313698337393509,0.568,0.357,0.0397103807178448
"Rpl39",3.60414730925962e-18,0.309297912236688,0.997,0.993,5.26854253667571e-14
"Rpl27a",2.21552694782006e-16,0.306980676391142,0.995,0.978,3.23865729232336e-12
"Selenof",6.27766809857131e-07,0.305479520227919,0.816,0.572,0.00917669522649153
"Rplp2",3.53984752784129e-10,0.303604711733438,0.986,0.914,5.17454911619839e-06
"Npc2",1.16721393580126e-06,0.302190429607537,0.929,0.784,0.0170623333135429
"Rpl19",1.84727827422876e-12,0.300798124146943,0.995,0.955,2.70035138126759e-08
"Rpl15",8.57576525910334e-13,0.30009017235677,0.991,0.944,1.25360536557573e-08
"C1qb",9.41714804038831e-11,0.292891600370395,0.992,0.959,1.37659870054396e-06
"Gm5239",2.07639319936814e-06,0.291945899170372,0.353,0.171,0.0303527157883635
"Ly86",1.24116702183364e-07,0.287127136862192,0.944,0.81,0.00181433795251641
"Bub3",1.83643076837071e-06,0.285462549705365,0.343,0.167,0.0268449449720431
"Rpl26",1.84688417238381e-10,0.282497289364226,0.978,0.885,2.69977528319065e-06
"Fcgr3",3.4887234809904e-07,0.277197554370012,0.796,0.554,0.00509981598451176
"C1qa",1.16389890982205e-07,0.270494516473797,0.993,0.989,0.00170138742637787
"Tpm3",6.34783492864596e-07,0.266608377312126,0.724,0.476,0.00927926509869466
"Rps7",1.12384730239117e-08,0.263554792769067,0.989,0.959,0.000164283998663541
"Fuca1",2.19973549463891e-06,0.262594094156671,0.378,0.193,0.0321557334606316
"Nmt1",9.61509368145869e-07,0.25506963350613,0.677,0.409,0.0140553439435563
