"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Sowahc",0.0363035707919945,-0.471676358366489,0.23,0.152,1
"Nup50",0.0364316289253637,-0.287526747240006,0.15,0.093,1
"Ube2g2",0.0365709911970985,-0.380284493963788,0.161,0.1,1
"Sirt7",0.0369407062741109,-0.265512313545933,0.138,0.086,1
"Ncbp1",0.0371861334241292,-0.257802054917964,0.119,0.071,1
"Zfp266",0.0388474505678815,-0.391868187669106,0.155,0.097,1
"Coq2",0.0399709554117773,-0.38531730421195,0.149,0.093,1
"Polr2f",0.0400477990278046,-0.619953345797198,0.503,0.468,1
"Zfp326",0.0414044229843242,-0.516127209882973,0.146,0.093,1
"Ptbp2",0.041444882596201,-0.308340207902772,0.113,0.067,1
"Erlec1",0.0416957139946347,-0.373608011925777,0.125,0.074,1
"Frmd4a",0.0422941608236628,-0.282191792534797,0.184,0.123,1
"Etnk1",0.0428436402229406,-0.255664955574023,0.239,0.164,1
"Sdf2",0.0432165618248624,-0.309476791948319,0.266,0.182,1
"Mtfr1l",0.0433451162336331,-0.291626731747364,0.255,0.175,1
"Smim7",0.0444023456648123,-0.259313202385501,0.256,0.175,1
"Pabpc1",0.0450422314219259,-0.316202424538536,0.904,0.81,1
"Ntan1",0.0459949236335557,-0.302088984806908,0.217,0.145,1
"Comt",0.0460624320548348,-0.399114730250354,0.536,0.387,1
"Pin4",0.0463557996813513,-0.277571191104929,0.349,0.238,1
"Cox7a2",0.0468207731905172,-0.250989827686856,0.837,0.729,1
"Ndufa3",0.0473071681568913,-0.283249661744773,0.83,0.71,1
"Twf1",0.0476595844161687,-0.257848490400621,0.243,0.167,1
"Hist1h1c",0.0481964289266396,-0.974159773749353,0.122,0.16,1
"Smg1",0.0489058826871518,-0.431274660969051,0.217,0.149,1
"Lin7c",0.0490384749071991,-0.308139032492344,0.207,0.138,1
"Inip",0.0504322429538797,-0.266621684248492,0.153,0.1,1
"Baz1b",0.0504668544174487,-0.275445756960712,0.188,0.126,1
"Cpeb4",0.0514575435185697,-0.303901690157115,0.201,0.134,1
"Med13",0.0516647684838379,-0.336558307050406,0.163,0.104,1
"Chd6",0.051707789923102,-0.31332991126529,0.105,0.063,1
"Map4k4",0.0517162661278737,-0.391211379157582,0.283,0.197,1
"Cd2ap",0.0526001205688448,-0.325996406710882,0.246,0.167,1
"Lyl1",0.0535565623577847,-0.266236408909678,0.367,0.268,1
"Sephs2",0.0536062225258854,-0.34844961384922,0.18,0.119,1
"Hddc2",0.0544775119520703,-0.262445240145699,0.112,0.067,1
"Scand1",0.054872841466171,-0.279873438046727,0.75,0.684,1
"Mrpl32",0.0551681605093174,-0.2953600552457,0.245,0.171,1
"Ost4",0.0553246831561115,-0.296131193188493,0.812,0.691,1
"Zmiz1",0.0555880676800687,-0.318944481730079,0.261,0.178,1
"Syngr1",0.0560583702069226,-0.342846431524595,0.699,0.643,1
"Ccdc12",0.0565422017819985,-0.307914580275457,0.375,0.268,1
"Haus3",0.0571570038195084,-0.400022893011999,0.114,0.071,1
"Tram1",0.0572546707454081,-0.274181831137087,0.467,0.327,1
"I830077J02Rik",0.0576177248355593,-0.47370125395243,0.129,0.082,1
"Hat1",0.0579019214072143,-0.29195756674368,0.168,0.112,1
"Irf8",0.0589047933387874,-0.26318186817075,0.471,0.346,1
"Rgs7bp",0.0595335951241628,-0.324689383762937,0.163,0.108,1
"Surf1",0.0596928741955992,-0.264181700802499,0.105,0.063,1
