"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Emid1",1.13803061426642e-17,4.36253011719292,0.246,0.011,1.66357315193465e-13
"Tom1l1",3.55762518081586e-07,3.04583260761565,0.111,0.011,0.00520053648931662
"Phgdh",2.04970735273691e-08,3.00256481487027,0.142,0.019,0.000299626220823082
"Scn1b",7.20241580421809e-10,2.23245135175989,0.17,0.022,1.0528491422606e-05
"Brd3",1.78132860998822e-05,1.98909858364392,0.123,0.033,0.260394616208078
"Alkbh1",1.91318828634018e-06,1.72076389953896,0.14,0.033,0.0279669863697208
"Arid5b",2.45170400773172e-06,1.59728764333216,0.15,0.041,0.0358390091850223
"Mrpl46",7.73894443382924e-05,1.57068759335459,0.109,0.03,1
"Mgmt",3.75624324219731e-05,1.54385155753046,0.126,0.037,0.549087637144403
"Gm26735",3.29233028835239e-06,1.52054070747188,0.137,0.033,0.0481272841551353
"Tmem37",6.07176936366851e-07,1.45032965927451,0.175,0.052,0.00887571245581063
"Gm10260",5.10586997306262e-37,1.44599839440985,0.764,0.301,7.46376072662294e-33
"Gm49359",0.0041309180734783,1.42794064811977,0.101,0.045,1
"Coq5",0.00018422585553871,1.41422453851557,0.103,0.03,1
"Gm8186",9.81527001369617e-13,1.40076294894227,0.321,0.093,1.43479617060211e-08
"Zranb1",0.000106160159881968,1.37582196511138,0.102,0.026,1
"Alg1",6.9888019245579e-06,1.36530145670297,0.143,0.041,0.102162306533187
"Ak3",6.6831862293181e-05,1.34904635191871,0.111,0.03,0.97694816300172
"Hist1h2ae",6.08410212600426e-05,1.34310090145378,0.143,0.052,0.889374048779303
"Rpl27-ps3",1.64505275507202e-17,1.34254225951398,0.491,0.178,2.40473811736428e-13
"Mysm1",0.00108416781441397,1.33287116667283,0.101,0.037,1
"1110059E24Rik",8.65409802853616e-06,1.33013553920292,0.125,0.03,0.126505604981142
"Pex13",0.000275451534469937,1.32521730580943,0.105,0.033,1
"Lepr",7.35664430469883e-05,1.25523172039684,0.137,0.048,1
"Sft2d1",4.08144358369806e-08,1.24937906052438,0.245,0.086,0.000596625423064983
"Slc38a9",0.000112861415678978,1.24204514700417,0.107,0.03,1
"Stxbp3",9.90176624672305e-05,1.22939609800024,0.108,0.03,1
"Gm13305",8.14663992448588e-06,1.22732414780412,0.15,0.045,0.119087582416135
"Mzt2",5.75958592878715e-07,1.21140709292053,0.19,0.059,0.00841936271070105
"Acp5",1.6730675964859e-05,1.17209307249236,0.133,0.037,0.244569021254309
"C1galt1c1",4.06136649335229e-05,1.15898066347549,0.143,0.048,0.593690553998237
"Kif1b",0.000924206079918675,1.15394679103463,0.108,0.041,1
"Smg7",8.30077903443432e-11,1.14873332246589,0.256,0.063,1.21340787925361e-06
"Rpf1",0.000305626399732449,1.14441620659126,0.111,0.037,1
"Hnrnpll",6.02871037153808e-05,1.13864874134729,0.141,0.048,0.881276882111437
"Chst12",7.30411764370019e-05,1.12958036360437,0.138,0.048,1
"Rbmxl1",2.80743488165265e-08,1.10333399008626,0.275,0.104,0.000410390830999984
"Npl",3.01843331856399e-22,1.09505842371369,0.718,0.353,4.41234582507684e-18
"BC035044",3.90132207069233e-06,1.09340881753901,0.179,0.059,0.0570295260293805
"Ifi27",0.0016369778662178,1.08931858812753,0.123,0.056,1
"Orc6",0.00129160099766911,1.0764770087192,0.11,0.045,1
"Stk25",0.00033947802272217,1.07199869604377,0.105,0.033,1
"Cd79b",3.34270158390068e-05,1.06092101439881,0.165,0.063,0.488636117534602
"Otud6b",0.000467556215771557,1.05848135562497,0.113,0.041,1
"Pdcd11",0.000759139773213877,1.05223354245529,0.11,0.041,1
"Fam20c",4.57681819407719e-06,1.03186452449217,0.195,0.074,0.0669039283610203
"AI987944",0.000641354935409882,1.0304643599302,0.101,0.033,1
"Arf2",0.00458227899420367,1.01968808905589,0.101,0.045,1
"Glipr1",4.18155515201317e-05,1.00439032739023,0.13,0.041,0.611259732121285
"Arl2bp",0.00290254986607701,1.00363520375749,0.119,0.056,1
"Clk4",8.33688299203311e-06,1.00349078397339,0.126,0.03,0.12186855557754
"Wdr74",7.2007872501315e-05,0.982089413421454,0.123,0.037,1
"Fem1b",0.000480585620000061,0.981315562008291,0.125,0.048,1
"Pex14",0.00140805053745678,0.979791076509996,0.101,0.037,1
"Rplp1",4.59306630567134e-56,0.979180632632698,0.986,0.807,6.71414432563036e-52
"Gpr108",0.000435505990512883,0.959171072841681,0.119,0.045,1
"Tyms",2.79246976329251e-05,0.95800619167023,0.19,0.078,0.4082032299981
"Pfdn6",4.68045235171992e-06,0.950978971786856,0.198,0.074,0.0684188524774418
"Nmd3",0.00240372684194519,0.947137401383948,0.101,0.041,1
"Mrpl19",0.00086405240895992,0.941985273103308,0.115,0.045,1
"Ech1",1.05701268562128e-08,0.939649458193055,0.278,0.1,0.000154514114384119
"Acsl5",4.13886361893536e-06,0.92579367570196,0.19,0.067,0.0605019083815971
"C5ar1",0.00102137737725934,0.908129407107829,0.113,0.045,1
"Eef1b2",4.46849165739939e-29,0.907299000295387,0.903,0.606,6.53204110478643e-25
"Rrm1",0.000464931477996433,0.904325464499862,0.145,0.063,1
"Sqor",1.75725987590756e-08,0.902358832737662,0.264,0.093,0.000256876248660167
"Capn3",0.000536518740022626,0.899571201250016,0.119,0.045,1
"mt-Nd2",2.2180516366814e-33,0.897359718129836,0.931,0.703,3.24234788250087e-29
"Batf3",0.000431736902836861,0.896729972321496,0.141,0.059,1
"Dkc1",0.00538749692172872,0.896715234444676,0.1,0.045,1
"Vrk2",0.00490752474557522,0.896032206466061,0.101,0.045,1
"Pdcd2",6.65400925620471e-05,0.894562035639396,0.167,0.067,0.972683073072005
"Rpl21",7.7289240206931e-54,0.891552751983712,0.989,0.87,1.12981411334492e-49
"Eri1",4.3714569090364e-05,0.885592382379921,0.133,0.041,0.63901957096294
"Borcs6",3.69259133473456e-05,0.885177364007244,0.145,0.048,0.539783001311498
"Zufsp",0.000575823239514672,0.883273780308796,0.134,0.056,1
"Rassf5",0.00259240848107048,0.873350480216446,0.106,0.045,1
"Snx20",0.000140460389062606,0.872782596539598,0.155,0.063,1
"mt-Nd5",2.83389691917722e-22,0.868849601573014,0.79,0.457,4.14259051645326e-18
"Kctd2",0.00063388733122951,0.86813057243958,0.107,0.037,1
"Hpgd",4.26488565110951e-05,0.867877511662744,0.174,0.071,0.623440984479188
"Gm26917",1.73147211871329e-05,0.862142292926525,0.41,0.23,0.253106594313509
"Slc15a4",2.73416975625477e-05,0.861804532595261,0.195,0.082,0.399680934969322
"Fbxl6",1.05440976067217e-05,0.857673652031715,0.158,0.052,0.154133618815058
"Cep350",0.000132941289117558,0.855587567015861,0.106,0.03,1
"Gm2244",6.10308535799712e-08,0.855386941710226,0.159,0.03,0.000892149017632019
"Ccnb1",0.00565236160591394,0.854934610415419,0.11,0.052,1
"Dnajc13",1.27887902531532e-05,0.849730173011231,0.207,0.086,0.186946535920594
"Gars",8.97219242780793e-05,0.848206522329088,0.174,0.074,1
"1110059G10Rik",0.00204099478513809,0.846914467605155,0.118,0.052,1
"Cd83",1.47027859730993e-08,0.84477506812813,0.392,0.19,0.000214925325354765
"Dtd2",0.00268581869029776,0.837748866593572,0.131,0.063,1
"Pisd",0.00228976220856038,0.835297189755865,0.102,0.041,1
"Ints10",0.00039491036914579,0.834223954312223,0.164,0.074,1
"Msrb2",0.00404171913221865,0.827657359295207,0.119,0.056,1
"4833420G17Rik",6.09397475777339e-05,0.824492731034433,0.18,0.074,0.890817230091314
"Klhdc3",0.00443294328187844,0.823583208758389,0.117,0.056,1
"Agl",0.00475153776396303,0.823546171036208,0.107,0.048,1
"Dmtf1",0.000973195723430737,0.823426499689339,0.134,0.059,1
"Mrpl9",0.000773559609901963,0.823237447063079,0.164,0.078,1
"Fam110a",1.01522996388929e-05,0.823073287449689,0.203,0.082,0.148406316121337
