"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Snrpa1",0.000412201069920524,0.425682784381832,0.27,0.149,1
"Tmem60",0.000420290092327761,0.383577397609881,0.245,0.134,1
"Idh3b",0.000422090206464258,0.260302519065964,0.26,0.141,1
"Commd3",0.000431682549683149,0.296238479810148,0.394,0.245,1
"Zdhhc20",0.000433329853160697,0.285784460540034,0.289,0.171,1
"Ube2w",0.000446411286930202,0.524041154475105,0.218,0.115,1
"Becn1",0.000461727364005744,0.351007771179619,0.237,0.126,1
"Tmed4",0.000463795482366021,0.53601463230955,0.22,0.115,1
"Fam213b",0.000464341370011757,0.279006418871177,0.326,0.193,1
"Rbm7",0.000470657552063161,0.330113538449428,0.223,0.115,1
"Rfc2",0.000474644827032482,0.422572913977097,0.251,0.138,1
"Adrm1",0.000476701049391507,0.305339527966203,0.29,0.167,1
"Bcl10",0.000480814541464592,0.340706400603116,0.207,0.104,1
"Psmc5",0.000510127528572358,0.395962734862853,0.317,0.193,1
"Adprh",0.000510342980288942,0.298760548684848,0.265,0.149,1
"Prorsd1",0.000514372137380604,0.517038435283169,0.209,0.108,1
"Tor1a",0.000516930008726488,0.362266381734054,0.202,0.1,1
"Mpc2",0.000519016314163281,0.282821297353523,0.387,0.238,1
"Ncor1",0.000522559237301294,0.305204963749745,0.304,0.178,1
"Ccnl2",0.000526890561517296,0.259856579236364,0.24,0.134,1
"Lsm2",0.000533537567649454,0.29808815224223,0.3,0.175,1
"Hsd17b10",0.00055062400349198,0.343020334281719,0.278,0.16,1
"Dusp11",0.00056494874965664,0.355516484253542,0.282,0.16,1
"Pdrg1",0.000593760530212029,0.412427839863084,0.247,0.138,1
"Pla2g15",0.000598121660747576,0.29979562063221,0.298,0.175,1
"Gpaa1",0.000612288748870031,0.250215895284315,0.24,0.126,1
"Wls",0.000614095986718789,0.321726023136567,0.393,0.253,1
"Mrpl48",0.000631422642402345,0.251881432794076,0.225,0.119,1
"Vapb",0.000632228537928211,0.266695306199642,0.275,0.16,1
"Dohh",0.000649300386110721,0.312484782915615,0.218,0.115,1
"Sdhc",0.000649915942166389,0.274292497161618,0.233,0.123,1
"Mcee",0.000683449083666871,0.483389662375665,0.233,0.13,1
