"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Pin1",0.0201099784853997,0.717830141204193,0.278,0.181,1
"mt-Nd4l",9.17352927763524e-08,0.703734349548162,0.933,0.81,0.00134098650980472
"Psmb2",0.00311465930972326,0.697785354042302,0.511,0.393,1
"Rpl18a",9.05578639449916e-19,0.69646447448168,1,0.968,1.32377485514789e-14
"Scp2",0.00436422692718964,0.692070472022774,0.356,0.232,1
"Pdcd6",0.0179523770094009,0.690095454313411,0.2,0.111,1
"mt-Nd5",7.46468784877591e-05,0.678174501699365,0.633,0.454,1
"Ech1",0.0238092189595092,0.676560439724895,0.211,0.122,1
"Fabp5",0.00365082844731951,0.673410757879697,0.611,0.447,1
"mt-Co3",7.97135563722588e-13,0.6712104327681,1,0.973,1.16525276704968e-08
"Hmga1",0.0448471782878766,0.666287393506338,0.233,0.149,1
"Polr2i",0.0112514396909597,0.665068969949657,0.356,0.237,1
"Rps10",9.29504907095718e-13,0.659134059112638,1,0.953,1.35875027319252e-08
"Lamtor5",0.0027951139236541,0.658650609051287,0.411,0.273,1
"Ptp4a2",0.00172082479010148,0.654762468489085,0.433,0.282,1
"Rpl36a",2.55208806522642e-09,0.65472560088627,0.978,0.855,3.73064233374798e-05
"Rps23",1.6811892464101e-14,0.65340495030595,1,0.932,2.45756244040228e-10
"Naa20",0.000889013053391565,0.653321337590175,0.478,0.305,1
"Psmd14",0.0413032948627658,0.652465543260158,0.211,0.135,1
"Idh3g",0.0284718872478776,0.64951448363362,0.211,0.127,1
"Uqcrh",1.88552109506728e-06,0.644635693395522,0.844,0.619,0.0275625473676935
"Rpl39",1.59349544828257e-21,0.639886511078542,1,1,2.32937164629946e-17
"Cmtm7",0.00559489777259574,0.636798673032307,0.467,0.327,1
"Cdc37",0.03264738593234,0.633367781927961,0.289,0.196,1
"Cox7b",5.5386420627934e-05,0.633057202724158,0.678,0.483,0.809638696739139
"Tbcb",0.0107894371019459,0.632457188322204,0.356,0.242,1
"Clns1a",0.0441784094354733,0.629628486071626,0.211,0.133,1
"Necap2",0.00858822959645194,0.62901278857122,0.311,0.192,1
"Rpl19",1.30023547312641e-18,0.62211416368404,1,0.977,1.90068421461619e-14
"Ppp1r2",0.0381416279189231,0.613035429384729,0.211,0.129,1
"Raly",0.0021940072025491,0.612471840150828,0.411,0.259,1
"Atp5f1",0.000119730822708694,0.61165720794385,0.622,0.418,1
"Psmd8",0.00308338823620453,0.610757953717548,0.444,0.296,1
"Rpl26",1.89353955623762e-09,0.608557959345898,0.967,0.876,2.76797612330816e-05
"Ywhaq",0.00246958068156913,0.605151342688988,0.456,0.296,1
"Rpl34",9.82390887019789e-16,0.605029321108747,1,0.964,1.43605899864553e-11
"Dnajc15",0.0479764865405408,0.600850133958144,0.233,0.153,1
"Tomm22",0.0072284060105488,0.600815384851876,0.444,0.33,1
"Rps7",2.09870103137997e-11,0.599252647255651,1,0.953,3.06788116767124e-07
"Akt1",0.0243812179067807,0.597774562675772,0.278,0.178,1
"2410015M20Rik",0.0046282359031402,0.597565346259344,0.511,0.379,1
"Trappc1",0.0168587032329108,0.595415711849083,0.289,0.181,1
"Tkt",0.0479312264151988,0.590975986161366,0.289,0.206,1
"Txn1",0.0119681194023009,0.590581084461048,0.478,0.352,1
"Slc25a5",2.44479255349632e-05,0.590494942628062,0.722,0.51,0.357379775470091
"Aldoa",0.0400663316056926,0.584606915437255,0.611,0.575,1
"Crybb1",0.00337859856788213,0.583762626578603,0.678,0.533,1
"Cstb",0.000538872441439482,0.582374223607016,0.689,0.515,1
"Tpt1",3.28135473226273e-09,0.579330694525854,0.956,0.867,4.79668434762166e-05
"Cdk4",0.000436054886639329,0.571838743432053,0.611,0.418,1
"Rpl4",0.000169242192585605,0.569145338094807,0.744,0.551,1
"Eef1a1",3.18069376236207e-10,0.566661202371131,1,0.948,4.64953814182087e-06
"Gm11808",2.38513649484275e-16,0.565287176588993,1,0.982,3.48659252816113e-12
"Apoe",5.90247230554453e-07,0.564107284850892,0.989,0.955,0.008628234016245
"Set",0.00284215182441581,0.564023296260476,0.633,0.485,1
"Rpl3",1.327482612926e-06,0.562954702167997,0.933,0.853,0.0194051408357523
"Bola2",1.91259129189753e-05,0.559592522575353,0.778,0.56,0.279582595049582
"Rpl28",2.39198724801693e-08,0.556675793091216,0.933,0.869,0.000349660695915115
"Atp5c1",0.0130860893063594,0.556536355230865,0.589,0.463,1
"Akr1a1",3.58906239511319e-05,0.55638770007306,0.844,0.632,0.524649140917647
"Ebna1bp2",0.0250775564080563,0.556128568527408,0.211,0.122,1
"Cebpzos",0.00176309446873932,0.555979773472844,0.5,0.346,1
"Tspo",0.0227745098699367,0.555905569753239,0.356,0.25,1
"Plin2",0.0074086932856604,0.554423324844718,0.544,0.422,1
"Ndufa12",0.00368659966441555,0.549539930479477,0.478,0.325,1
"Psma2",0.00447671309658936,0.546090831728186,0.444,0.293,1
"Aamp",0.0206159497764129,0.545054009856921,0.356,0.248,1
"Rpl14",3.46744929280999e-06,0.543515991365232,0.922,0.811,0.0506871737622965
"Ubb",0.000100902335847309,0.542829224357725,0.822,0.715,1
"Rpl12",9.09091919452965e-06,0.540171786102392,0.9,0.729,0.132891056785634
