"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0002181","GO:0002181","cytoplasmic translation","28/224","105/2089",0.266666666666667,2.48690476190476,5.41697468727747,1.94195833364617e-06,0.00391692995896432,0.00391692995896432,"Rplp1/Rpl21/Rps21/Rps26/Rps12/Rps29/Rps15a/Rpl8/Ncbp2/Rpl32/Rpl18/Rpl12/Rps8/Rps10/Rps13/Rpl3/Rpl35a/Rps5/Rps19/Etf1/Rps3/Rpl23/Rpl10a/Rpl7/Rpl34/Rpl13/Slbp/Rpl18a",28
"GO:0140236","GO:0140236","translation at presynapse","16/224","47/2089",0.340425531914894,3.17477203647416,5.22498007326118,1.2952290223408e-05,0.00887120186805057,0.00887120186805057,"Rps26/Rps12/Rpl10/Rps15a/Rpl8/Rps27/Rpl32/Rpl12/Rps10/Rpl35a/Rps5/Rpl23/Rpl10a/Rpl7/Rpl34/Rpl13",16
"GO:0140241","GO:0140241","translation at synapse","16/224","48/2089",0.333333333333333,3.10863095238095,5.1209381649434,1.75928643887964e-05,0.00887120186805057,0.00887120186805057,"Rps26/Rps12/Rpl10/Rps15a/Rpl8/Rps27/Rpl32/Rpl12/Rps10/Rpl35a/Rps5/Rpl23/Rpl10a/Rpl7/Rpl34/Rpl13",16
"GO:0140242","GO:0140242","translation at postsynapse","16/224","48/2089",0.333333333333333,3.10863095238095,5.1209381649434,1.75928643887964e-05,0.00887120186805057,0.00887120186805057,"Rps26/Rps12/Rpl10/Rps15a/Rpl8/Rps27/Rpl32/Rpl12/Rps10/Rpl35a/Rps5/Rpl23/Rpl10a/Rpl7/Rpl34/Rpl13",16
