"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Ergic1",0.0292283729075041,-1.88679539166287,0.044,0.12,1
"Ube2c",0.0296168352187777,-0.873687403323342,0.056,0.138,1
"Pmf1",0.0296593685465503,-1.12564897015583,0.033,0.11,1
"Gnaq",0.0298180016817134,-1.69664187085474,0.044,0.122,1
"Usp2",0.0303331217811184,-1.37839551561701,0.056,0.138,1
"Tpr",0.0304811178920125,-0.717794139249745,0.1,0.199,1
"Cd180",0.0308730846452534,-0.891678865847232,0.167,0.278,1
"Dync1h1",0.0309145601102689,-1.42669718094583,0.089,0.176,1
"Comt",0.0310547782738777,-1.05255362346353,0.289,0.386,1
"Rab8b",0.0310563963482788,-1.03586035264761,0.178,0.276,1
"2510039O18Rik",0.0311465139566733,-1.37748244590555,0.033,0.108,1
"Csnk1a1",0.0311526359012377,-0.710370263360222,0.256,0.363,1
"Rab14",0.0311580272366717,-0.73486655108827,0.3,0.418,1
"Npc1",0.0312957486684076,-1.19255611767111,0.111,0.205,1
"C3ar1",0.0314463630320503,-0.849451090740854,0.2,0.309,1
"Wipf1",0.0319364718261293,-1.46669682966269,0.078,0.163,1
"Dnajc13",0.0320685389916956,-1.43476783665099,0.044,0.122,1
"Ccz1",0.0321501317664318,-1.74258477131606,0.067,0.147,1
"Mrc1",0.0321721856084663,-2.18411268697422,0.111,0.197,1
"Rtf1",0.0322509973395947,-0.998204930176022,0.056,0.14,1
"Hectd1",0.0325623057092714,-1.62274870232386,0.067,0.147,1
"Srpk1",0.0327493703057668,-1.02012500540572,0.1,0.196,1
"Rbms1",0.0332389691386679,-1.26096517626549,0.056,0.136,1
"Larp4",0.033589220292148,-1.09019444152783,0.067,0.156,1
"Aim2",0.0338323984064161,-1.93788846493185,0.056,0.131,1
"Ncoa4",0.0338569364017207,-1.07291704938088,0.1,0.192,1
"Slc39a1",0.0339112842718118,-0.637842518818031,0.278,0.386,1
"Ing4",0.0340053009362548,-1.45358557115515,0.067,0.149,1
"Sf3b1",0.034145149591953,-0.712853086136097,0.156,0.268,1
"Tnpo3",0.034794526614035,-1.90045924800742,0.033,0.102,1
"P4hb",0.0354722468672652,-0.823742709380237,0.156,0.255,1
"Acp2",0.0355612234861664,-2.25284770158939,0.033,0.101,1
"Plod3",0.0357553764343179,-1.37310982934827,0.067,0.147,1
"Mat2a",0.0358670968047132,-1.00633308058834,0.111,0.205,1
"March6",0.035875178367492,-1.66194839036353,0.044,0.118,1
"Tmem192",0.0358993017980576,-1.56424358149618,0.078,0.16,1
"Slc38a1",0.0359352898826299,-0.98913228168963,0.1,0.194,1
"Ptbp1",0.0363387106535063,-1.22472214506639,0.167,0.255,1
"Pik3cd",0.036494115494874,-1.74342417315268,0.044,0.117,1
"Ankrd11",0.0365991247950246,-2.05500393428288,0.033,0.102,1
"Grk2",0.0368147364029774,-1.15746915734586,0.111,0.205,1
"Sel1l",0.036860633772979,-2.12973229324932,0.033,0.101,1
"Maged1",0.0371164501510537,-1.10115388751102,0.067,0.149,1
"Selenop",0.0371257238100501,-0.320874973917364,0.844,0.86,1
"Ccng2",0.0374963640552539,-1.52783768358686,0.067,0.147,1
"Gba",0.0376867198250529,-1.50918268536081,0.078,0.158,1
"Cyba",0.0376969897664863,-0.338094455853227,0.878,0.864,1
"Fes",0.0379696046203738,-1.65772199835498,0.078,0.156,1
"Knop1",0.037981218594325,-0.85355611501616,0.178,0.278,1
"Ap2a1",0.0380323688923247,-1.66404246656153,0.033,0.102,1
"Ctsc",0.038223392426102,-0.780165546894089,0.267,0.373,1
"Dpp8",0.0384262924217815,-1.51814467769202,0.033,0.102,1
"Lasp1",0.0384412975238612,-1.25453942410142,0.067,0.147,1
"Sdf2",0.0386175171536675,-1.22447549922605,0.067,0.149,1
"Mfsd1",0.0388240101811067,-1.05246161825148,0.189,0.276,1
