,precision,recall,f1-score,support
COLD,0.46107784431137727,0.4583333333333333,0.4597014925373134,168.0
CON,0.5380710659898477,0.5408163265306123,0.539440203562341,196.0
accuracy,0.5027472527472527,0.5027472527472527,0.5027472527472527,0.5027472527472527
macro avg,0.4995744551506125,0.4995748299319728,0.4995708480498272,364.0
weighted avg,0.5025357329074767,0.5027472527472527,0.5026377215507898,364.0
